,Unnamed: 0,scorer,full_name,similarity,fn_tokens,pl_tokens,token_compare
16277,17354,Fayçal Fajr,Fayçal Fajr,1.0,"['Fayçal', 'Fajr']","['Fayçal', 'Fajr']",True
16278,17355,Lucas Barrios,Lucas Castro,0.72,"['Lucas', 'Castro']","['Lucas', 'Barrios']",False
16279,17356,Alessio Romagnoli,Alessio Cragno,0.7741935483870968,"['Alessio', 'Cragno']","['Alessio', 'Romagnoli']",False
16280,17357,Leonardo Pavoletti,Leonardo Pavoletti,1.0,"['Leonardo', 'Pavoletti']","['Leonardo', 'Pavoletti']",True
16281,17358,Vladimír Šmicer,Vlad Chiriches,0.6206896551724138,"['Vlad', 'Chiriches']","['Vladimír', 'Šmicer']",False
16282,17359,Mattia Destro,Mattia De Sciglio,0.6666666666666666,"['Mattia', 'De', 'Sciglio']","['Mattia', 'Destro']",False
16283,17360,Denis Cheryshev,Denis Cheryshev,1.0,"['Denis', 'Cheryshev']","['Denis', 'Cheryshev']",True
16284,17361,Maximilian Göppel,Maximilian Arnold,0.7058823529411765,"['Maximilian', 'Arnold']","['Maximilian', 'Göppel']",False
16285,17362,Leandro Trossard,Leandro Trossard,1.0,"['Leandro', 'Trossard']","['Leandro', 'Trossard']",True
16286,17363,Robin Gosens,Robin Olsen,0.782608695652174,"['Robin', 'Olsen']","['Robin', 'Gosens']",False
16287,17364,Ryan Fraser,Ryan Fraser,1.0,"['Ryan', 'Fraser']","['Ryan', 'Fraser']",True
16288,17365,Bertrand Traoré,Bertrand Traoré,1.0,"['Bertrand', 'Traoré']","['Bertrand', 'Traoré']",True
16289,17366,Masimba Mambare,Matheus Lima Magalhães,0.5945945945945946,"['Matheus', 'Lima', 'Magalhães']","['Masimba', 'Mambare']",False
16290,17367,Gabriel Mendes,Gabriel Appelt Pires,0.6470588235294118,"['Gabriel', 'Appelt', 'Pires']","['Gabriel', 'Mendes']",False
16291,17368,Ryan Christie,Bryan Cristante,0.7142857142857143,"['Bryan', 'Cristante']","['Ryan', 'Christie']",False
16292,17370,Filip Kostić,Filip Kostic,0.9166666666666666,"['Filip', 'Kostic']","['Filip', 'Kostić']",False
16293,17371,Gabriel González,Omar Mascarell González,0.6666666666666666,"['Omar', 'Mascarell', 'González']","['Gabriel', 'González']",False
16294,17372,Gaetano Scirea,Gaëtan  Laborde,0.5517241379310345,"['Gaëtan', 'Laborde']","['Gaetano', 'Scirea']",False
16295,17373,Marcel Halstenberg,Marcel Halstenberg,1.0,"['Marcel', 'Halstenberg']","['Marcel', 'Halstenberg']",True
16296,17374,Domenico Berardi,Domenico Berardi,1.0,"['Domenico', 'Berardi']","['Domenico', 'Berardi']",True
16297,17375,Rubén Jiménez,Rubén Peña Jiménez,0.8387096774193549,"['Rubén', 'Peña', 'Jiménez']","['Rubén', 'Jiménez']",True
